"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","AA2","AA3","AB1","AD1","AE1","AH1","AH2","AH3","AH4","AH5","AH6","AI1","AI2","AI3","AI4","AI5","AI6","AJ1","AK1","AL1","AM1","AN1","AT1","AT2","AT3","AT4","AT5","AU1","AU2","AU3","AU4","AW1","AW2","AW3","AW4","AX1","AX2","AX3","AX4","AX5","ED1","GA1","GA2","GA3","GD1","GD2","GD3","GD4","GE1","GF1","KA1","KA2","KA3","KA4","KB1","KB2","KB3","KC1","KC2","KD1","KD2","KE1","KG1","KG2","MA1","MD1","MF1","MG1","MH1","MK1","MV1","MW1","MW2","OC1","OD1","OE1","OE2","OE3","RH1","RH2","RH3","WA1","REM","EQD"
"72327013897","2021-03-10T06:00:00","4","36.11054","-86.68815","178.9","NASHVILLE INTERNATIONAL AIRPORT, TN US","FM-12","99999","V020","170,1,N,0021,1","99999,9,9,N","016000,1,9,9","+0117,1","-0011,1","10264,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"240,M,+0178,1","240,N,+0022,1",,,,,,,,,,,,,"99999,9,10015,1","8,1,003,1,+999,9",,,,,,,,,,,,,,,,,"SYN08072327 32966 01704 10117 21011 30015 40264 58003 90553 333 10178 20022 555 91006=",
"72327013897","2021-03-10T06:53:00","7","36.11054","-86.68815","178.9","NASHVILLE INTERNATIONAL AIRPORT, TN US","FM-15","KBNA ","V030","999,9,C,0000,5","22000,5,9,N","016093,5,N,5","+0111,5","-0011,5","10263,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00,5,+99999,9,99,9",,,"0,99,1,+99999,9,9",,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,,,"10264,5,10043,5",,,,,,,,,,,,,,,,,,"MET09603/10/21 00:53:02 METAR KBNA 100653Z 00000KT 10SM CLR 11/M01 A3031 RMK AO2 SLP263 T01111011 (TM)",
"72327013897","2021-03-10T07:53:00","7","36.11054","-86.68815","178.9","NASHVILLE INTERNATIONAL AIRPORT, TN US","FM-15","KBNA ","V030","190,5,N,0031,5","22000,5,9,N","016093,5,N,5","+0100,5","-0006,5","10260,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00,5,+99999,9,99,9",,,"0,99,1,+99999,9,9",,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,,,"10264,5,10043,5",,,,,,,,,,,,,,,,,,"MET09603/10/21 01:53:02 METAR KBNA 100753Z 19006KT 10SM CLR 10/M01 A3031 RMK AO2 SLP260 T01001006 (TM)",
"72327013897","2021-03-10T08:53:00","7","36.11054","-86.68815","178.9","NASHVILLE INTERNATIONAL AIRPORT, TN US","FM-15","KBNA ","V030","190,5,N,0031,5","22000,5,9,N","016093,5,N,5","+0094,5","-0006,5","10255,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00,5,+99999,9,99,9",,,"0,99,1,+99999,9,9",,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,,,"10257,5,10036,5","8,9,009,9,+999,9",,,,,,,,,,,,,,,,,"MET10203/10/21 02:53:02 METAR KBNA 100853Z 19006KT 10SM CLR 09/M01 A3029 RMK AO2 SLP255 T00941006 58009 (TM)",
"72327013897","2021-03-10T09:00:00","4","36.11054","-86.68815","178.9","NASHVILLE INTERNATIONAL AIRPORT, TN US","FM-12","99999","V020","190,1,N,0031,1","99999,9,9,N","016000,1,9,9","+0094,1","-0006,1","10255,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"99999,9,10005,1","8,1,009,1,+999,9",,,,,,,,,,,,,,,,,"SYN06472327 32966 01906 10094 21006 30005 40255 58009 90853 555 91009=",
"72327013897","2021-03-10T09:53:00","7","36.11054","-86.68815","178.9","NASHVILLE INTERNATIONAL AIRPORT, TN US","FM-15","KBNA ","V030","170,5,N,0041,5","22000,5,9,N","016093,5,N,5","+0111,5","-0006,5","10259,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00,5,+99999,9,99,9",,,"0,99,1,+99999,9,9",,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,,,"10261,5,10039,5",,,,,,,,,,,,,,,,,,"MET09603/10/21 03:53:02 METAR KBNA 100953Z 17008KT 10SM CLR 11/M01 A3030 RMK AO2 SLP259 T01111006 (TM)",
"72327013897","2021-03-10T10:53:00","7","36.11054","-86.68815","178.9","NASHVILLE INTERNATIONAL AIRPORT, TN US","FM-15","KBNA ","V030","170,5,N,0031,5","22000,5,9,N","016093,5,N,5","+0106,5","-0011,5","10262,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"02,5,+07620,5,99,9",,,"1,99,1,+07620,5,9",,,,"9,AGL   ,+99999,+99999","02,99,5,99,9,99,9,07620,1,99,9,99,9",,,,,,,,,,,,,,,"10264,5,10043,5",,,,,,,,,,,,,,,,,,"MET09903/10/21 04:53:02 METAR KBNA 101053Z 17006KT 10SM FEW250 11/M01 A3031 RMK AO2 SLP262 T01061011 (TM)","D01      0ADE726"
"72327013897","2021-03-10T11:53:00","7","36.11054","-86.68815","178.9","NASHVILLE INTERNATIONAL AIRPORT, TN US","FM-15","KBNA ","V030","180,5,N,0031,5","07620,5,M,N","016093,5,N,5","+0094,5","-0006,5","10271,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04,5,+04572,5,99,9","07,5,+07620,5,99,9",,"2,99,1,+04572,5,9","3,99,1,+07620,5,9",,,"9,MSL   ,+99999,+99999","99,99,9,99,9,99,9,04572,1,99,9,99,9","060,M,+0117,1","060,N,+0089,1",,,,,,,,,,,,,"10274,5,10053,5","3,9,015,9,+999,9",,,,,,,,,,,,,,,,,"MET12403/10/21 05:53:02 METAR KBNA 101153Z 18006KT 10SM SCT150 BKN250 09/M01 A3034 RMK AO2 SLP271 T00941006 10117 20089 53015 (TM)",
"72327013897","2021-03-10T12:00:00","4","36.11054","-86.68815","178.9","NASHVILLE INTERNATIONAL AIRPORT, TN US","FM-12","99999","V020","180,1,N,0031,1","99999,9,9,N","016000,1,9,9","+0094,1","-0006,1","10271,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,MSL   ,+99999,+99999","06,99,1,99,9,99,9,99999,9,99,9,99,9","240,M,+0228,1","240,N,+0089,1",,,,,,,,,,,,,"99999,9,10021,1","3,1,015,1,+999,9",,,,,,,,,,,,,,,,,"SYN08072327 32966 61806 10094 21006 30021 40271 53015 91153 333 10228 20089 555 91012=",
"72327013897","2021-03-10T12:53:00","7","36.11054","-86.68815","178.9","NASHVILLE INTERNATIONAL AIRPORT, TN US","FM-15","KBNA ","V030","170,5,N,0026,5","06401,5,M,N","016093,5,N,5","+0117,5","+0000,5","10278,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"07,5,+06401,5,99,9","07,5,+07620,5,99,9",,"3,99,1,+06401,5,9","3,99,1,+07620,5,9",,,"9,MSL   ,+99999,+99999","99,99,9,99,9,99,9,06401,1,99,9,99,9",,,,,,,,,,,,,,,"10278,5,10056,5",,,,,,,,,,,,,,,,,,"MET10503/10/21 06:53:02 METAR KBNA 101253Z 17005KT 10SM BKN210 BKN250 12/00 A3035 RMK AO2 SLP278 T01170000 (CC)",
"72327013897","2021-03-10T13:53:00","7","36.11054","-86.68815","178.9","NASHVILLE INTERNATIONAL AIRPORT, TN US","FM-15","KBNA ","V030","170,5,N,0041,5","07620,5,M,N","016093,5,N,5","+0133,5","+0017,5","10282,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"02,5,+06401,5,99,9","07,5,+07620,5,99,9",,"1,99,1,+06401,5,9","3,99,1,+07620,5,9",,,"9,MSL   ,+99999,+99999","99,99,9,99,9,99,9,06401,1,99,9,99,9",,,,,,,,,,,,,,,"10284,5,10063,5",,,,,,,,,,,,,,,,,,"MET10503/10/21 07:53:02 METAR KBNA 101353Z 17008KT 10SM FEW210 BKN250 13/02 A3037 RMK AO2 SLP282 T01330017 (CC)",
"72327013897","2021-03-10T14:53:00","7","36.11054","-86.68815","178.9","NASHVILLE INTERNATIONAL AIRPORT, TN US","FM-15","KBNA ","V030","180,5,N,0067,5","07620,5,M,N","016093,5,N,5","+0172,5","+0044,5","10281,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"02,5,+06401,5,99,9","07,5,+07620,5,99,9",,"1,99,1,+06401,5,9","3,99,1,+07620,5,9",,,"9,MSL   ,+99999,+99999","99,99,9,99,9,99,9,06401,1,99,9,99,9",,,,,,,,,,,,,,,"10284,5,10063,5","1,9,011,9,+999,9",,,,,,,,"0118,5",,,,,,,,,"MET11403/10/21 08:53:02 METAR KBNA 101453Z 18013G23KT 10SM FEW210 BKN250 17/04 A3037 RMK AO2 SLP281 T01720044 51011 (CC)",
"72327013897","2021-03-10T15:00:00","4","36.11054","-86.68815","178.9","NASHVILLE INTERNATIONAL AIRPORT, TN US","FM-12","99999","V020","180,1,N,0067,1","99999,9,9,N","016000,1,9,9","+0172,1","+0044,1","10281,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,MSL   ,+99999,+99999","06,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,,,"99999,9,10031,1","1,1,011,1,+999,9",,,,,,,,,"4,99,0118,1,999",,,,,,,,"SYN07472327 32966 61813 10172 20044 30031 40281 51011 91453 333 91023 555 91015=",
"72327013897","2021-03-10T15:53:00","7","36.11054","-86.68815","178.9","NASHVILLE INTERNATIONAL AIRPORT, TN US","FM-15","KBNA ","V030","200,5,N,0072,5","22000,5,9,N","016093,5,N,5","+0189,5","+0067,5","10283,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"02,5,+06096,5,99,9","04,5,+07620,5,99,9",,"1,99,1,+06096,5,9","2,99,1,+07620,5,9",,,"9,AGL   ,+99999,+99999","04,99,5,99,9,99,9,06096,1,99,9,99,9",,,,,,,,,,,,,,,"10284,5,10063,5",,,,,,,,,"0129,5","4,99,0139,1,200",,,,,,,,"MET12603/10/21 09:53:02 METAR KBNA 101553Z 20014G25KT 10SM FEW200 SCT250 19/07 A3037 RMK AO2 PK WND 20027/1508 SLP283 T01890067 (CC)","D01      0ADE726"
"72327013897","2021-03-10T16:53:00","7","36.11054","-86.68815","178.9","NASHVILLE INTERNATIONAL AIRPORT, TN US","FM-15","KBNA ","V030","200,5,N,0088,5","07620,5,M,N","016093,5,N,5","+0200,5","+0078,5","10278,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"02,5,+01433,5,99,9","04,5,+06096,5,99,9","07,5,+07620,5,99,9","1,99,1,+01433,5,9","2,99,1,+06096,5,9","3,99,1,+07620,5,9",,"9,MSL   ,+99999,+99999","99,99,9,99,9,99,9,01433,1,99,9,99,9",,,,,,,,,,,,,,,"10281,5,10059,5",,,,,,,,,,,,,,,,,,"MET11203/10/21 10:53:02 METAR KBNA 101653Z 20017KT 10SM FEW047 SCT200 BKN250 20/08 A3036 RMK AO2 SLP278 T02000078 (CC)",
