"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","AA2","AA3","AB1","AD1","AE1","AH1","AH2","AH3","AH4","AH5","AH6","AI1","AI2","AI3","AI4","AI5","AI6","AJ1","AK1","AL1","AM1","AN1","AT1","AT2","AT3","AT4","AT5","AU1","AU2","AU3","AU4","AW1","AW2","AW3","AW4","AW5","AX1","AX2","AX3","AX4","ED1","GA1","GA2","GA3","GD1","GD2","GD3","GD4","GE1","GF1","KA1","KA2","KA3","KA4","KB1","KB2","KB3","KC1","KC2","KD1","KD2","KE1","KG1","KG2","MA1","MD1","MF1","MG1","MH1","MK1","MV1","MW1","MW2","MW3","MW4","OC1","OD1","OE1","OE2","OE3","RH1","RH2","RH3","WA1","REM","EQD"
"72327013897","2020-03-30T12:53:00","7","36.11889","-86.68917","182.9","NASHVILLE INTERNATIONAL AIRPORT, TN US","FM-15","KBNA ","V030","999,9,C,0000,5","07620,5,M,N","016093,5,N,5","+0122,5","+0056,5","10234,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"07,5,+07620,5,99,9",,,"3,99,1,+07620,5,9",,,,"9,MSL   ,+99999,+99999","99,99,9,99,9,99,9,07620,1,99,9,99,9",,,,,,,,,,,,,,,"10237,5,10016,5",,,,,,,,,,,,,,,,,,,,"MET09803/30/20 06:53:02 METAR KBNA 301253Z 00000KT 10SM BKN250 12/06 A3023 RMK AO2 SLP234 T01220056 (RM)",
"72327013897","2020-03-30T13:53:00","7","36.11889","-86.68917","182.9","NASHVILLE INTERNATIONAL AIRPORT, TN US","FM-15","KBNA ","V030","320,5,N,0026,5","07620,5,M,N","016093,5,N,5","+0156,5","+0056,5","10235,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"07,5,+07620,5,99,9",,,"3,99,1,+07620,5,9",,,,"9,MSL   ,+99999,+99999","99,99,9,99,9,99,9,07620,1,99,9,99,9",,,,,,,,,,,,,,,"10240,5,10019,5",,,,,,,,,,,,,,,,,,,,"MET09803/30/20 07:53:02 METAR KBNA 301353Z 32005KT 10SM BKN250 16/06 A3024 RMK AO2 SLP235 T01560056 (RM)",
"72327013897","2020-03-30T14:53:00","7","36.11889","-86.68917","182.9","NASHVILLE INTERNATIONAL AIRPORT, TN US","FM-15","KBNA ","V030","010,5,N,0031,5","07620,5,M,N","016093,5,N,5","+0167,5","+0039,5","10235,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"02,5,+06096,5,99,9","07,5,+07620,5,99,9",,"1,99,1,+06096,5,9","3,99,1,+07620,5,9",,,"9,MSL   ,+99999,+99999","99,99,9,99,9,99,9,06096,1,99,9,99,9",,,,,,,,,,,,,,,"10237,5,10016,5","0,9,006,9,+999,9",,,,,,,,,,,,,,,,,,,"MET11103/30/20 08:53:02 METAR KBNA 301453Z 01006KT 10SM FEW200 BKN250 17/04 A3023 RMK AO2 SLP235 T01670039 50006 (RM)",
"72327013897","2020-03-30T15:00:00","4","36.11889","-86.68917","182.9","NASHVILLE INTERNATIONAL AIRPORT, TN US","FM-12","99999","V020","010,1,N,0031,1","99999,9,9,N","016000,1,9,9","+0167,1","+0039,1","10235,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,MSL   ,+99999,+99999","06,99,1,99,9,99,9,99999,9,99,9,99,9",,,,,,,,,,,,,,,"99999,9,09985,1","9,9,006,1,+999,9",,,,,,,,,,,,,,,,,,,"SYN06472327 32966 60106 10167 20039 39985 40235 50006 91453 555 93015=",
"72327013897","2020-03-30T15:53:00","7","36.11889","-86.68917","182.9","NASHVILLE INTERNATIONAL AIRPORT, TN US","FM-15","KBNA ","V030","360,5,N,0031,5","05486,5,M,N","016093,5,N,5","+0167,5","+0044,5","10233,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"08,5,+05486,5,99,9",,,"4,99,1,+05486,5,9",,,,"9,MSL   ,+99999,+99999","99,99,9,99,9,99,9,05486,1,99,9,99,9",,,,,,,,,,,,,,,"10237,5,10016,5",,,,,,,,,,,,,,,,,,,,"MET09803/30/20 09:53:02 METAR KBNA 301553Z 36006KT 10SM OVC180 17/04 A3023 RMK AO2 SLP233 T01670044 (RM)",
"72327013897","2020-03-30T16:53:00","7","36.11889","-86.68917","182.9","NASHVILLE INTERNATIONAL AIRPORT, TN US","FM-15","KBNA ","V030","360,5,N,0015,5","04877,5,M,N","016093,5,N,5","+0172,5","+0028,5","10232,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"08,5,+04877,5,99,9",,,"4,99,1,+04877,5,9",,,,"9,MSL   ,+99999,+99999","99,99,9,99,9,99,9,04877,1,99,9,99,9",,,,,,,,,,,,,,,"10234,5,10013,5",,,,,,,,,,,,,,,,,,,,"MET09803/30/20 10:53:02 METAR KBNA 301653Z 36003KT 10SM OVC160 17/03 A3022 RMK AO2 SLP232 T01720028 (RM)",
"72327013897","2020-03-30T17:53:00","7","36.11889","-86.68917","182.9","NASHVILLE INTERNATIONAL AIRPORT, TN US","FM-15","KBNA ","V030","310,5,N,0021,5","04572,5,M,N","016093,5,N,5","+0178,5","+0022,5","10230,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"08,5,+04572,5,99,9",,,"4,99,1,+04572,5,9",,,,"9,MSL   ,+99999,+99999","99,99,9,99,9,99,9,04572,1,99,9,99,9","060,M,+0178,1","060,N,+0083,1",,,,,,,,,,,,,"10234,5,10013,5","6,9,006,9,+999,9",,,,,,,,,,,,,,,,,,,"MET11603/30/20 11:53:02 METAR KBNA 301753Z 31004KT 10SM OVC150 18/02 A3022 RMK AO2 SLP230 T01780022 10178 20083 56006 (RM)",
"72327013897","2020-03-30T18:00:00","4","36.11889","-86.68917","182.9","NASHVILLE INTERNATIONAL AIRPORT, TN US","FM-12","99999","V020","310,1,N,0021,1","99999,9,9,N","016000,1,9,9","+0178,1","+0022,1","10230,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,MSL   ,+99999,+99999","08,99,1,99,9,99,9,99999,9,99,9,99,9","120,M,+0178,1","120,N,+0083,1",,,,,,,,,,,,,"99999,9,09981,1","6,1,006,1,+999,9",,,,,,,,,,,,,,,,,,,"SYN08072327 32966 83104 10178 20022 39981 40230 56006 91753 333 10178 20083 555 93018=",
"72327013897","2020-03-30T18:53:00","7","36.11889","-86.68917","182.9","NASHVILLE INTERNATIONAL AIRPORT, TN US","FM-15","KBNA ","V030","320,5,N,0021,5","06706,5,M,N","016093,5,N,5","+0183,5","+0017,5","10221,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"02,5,+05486,5,99,9","08,5,+06706,5,99,9",,"1,99,1,+05486,5,9","4,99,1,+06706,5,9",,,"9,MSL   ,+99999,+99999","99,99,9,99,9,99,9,05486,1,99,9,99,9",,,,,,,,,,,,,,,"10224,5,10003,5",,,,,,,,,,,,,,,,,,,,"MET10503/30/20 12:53:02 METAR KBNA 301853Z 32004KT 10SM FEW180 OVC220 18/02 A3019 RMK AO2 SLP221 T01830017 (RM)",
"72327013897","2020-03-30T19:53:00","7","36.11889","-86.68917","182.9","NASHVILLE INTERNATIONAL AIRPORT, TN US","FM-15","KBNA ","V030","270,5,N,0015,5","07620,5,M,N","016093,5,N,5","+0183,5","+0017,5","10211,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"08,5,+07620,5,99,9",,,"4,99,1,+07620,5,9",,,,"9,MSL   ,+99999,+99999","99,99,9,99,9,99,9,07620,1,99,9,99,9",,,,,,,,,,,,,,,"10213,5,09993,5",,,,,,,,,,,,,,,,,,,,"MET09903/30/20 13:53:02 METAR KBNA 301953Z 27003KT 10SM OVC250 18/02 A3016 RMK AO2 SLP211 T01830017 (BLL)",
